RODADA;Home;Away;HG;AG;Res
16;Bragantino;Flamengo RJ;1;2;A
16;Santos;Internacional;1;2;A
16;Vitoria;Sport Recife;2;2;D
16;Juventude;Sao Paulo;0;1;A
16;Vasco;Bahia;3;1;H
16;Gremio;Botafogo RJ;1;1;D
16;Atletico-MG;Fortaleza;0;0;D
17;Botafogo RJ;Corinthians;1;1;D
17;Fortaleza;Bragantino;3;1;H
17;Mirassol;Vitoria;1;1;D
17;Sport Recife;Santos;2;2;D
17;Palmeiras;Gremio;1;0;H
17;Cruzeiro;Ceara;1;2;A
17;Sao Paulo;Fluminense;3;1;H
17;Bahia;Juventude;3;0;H
17;Internacional;Vasco;1;1;D
17;Flamengo RJ;Atletico-MG;1;0;H
18;Sport Recife;Bahia;0;0;D
18;Mirassol;Vasco;3;2;H
18;Fluminense;Gremio;1;0;H
18;Botafogo RJ;Cruzeiro;0;2;A
18;Corinthians;Fortaleza;1;1;D
18;Atletico-MG;Bragantino;2;1;H
18;Ceara;Flamengo RJ;1;1;D
18;Vitoria;Palmeiras;2;2;D
18;Internacional;Sao Paulo;1;2;A
18;Santos;Juventude;3;1;H
19;Bragantino;Internacional;1;3;A
19;Flamengo RJ;Mirassol;2;1;H
19;Sao Paulo;Vitoria;2;0;H
19;Fortaleza;Botafogo RJ;0;5;A
19;Bahia;Fluminense;3;3;D
19;Palmeiras;Ceara;2;1;H
19;Vasco;Atletico-MG;1;1;D
19;Cruzeiro;Santos;1;2;A
19;Gremio;Sport Recife;0;1;A
19;Juventude;Corinthians;2;1;H
20;Ceara;Bragantino;1;0;H
20;Fluminense;Fortaleza;2;1;H
20;Sport Recife;Sao Paulo;2;2;D
20;Vitoria;Juventude;2;2;D
20;Corinthians;Bahia;1;2;A
20;Atletico-MG;Gremio;1;3;A
20;Santos;Vasco;0;6;A
20;Internacional;Flamengo RJ;1;3;A
20;Botafogo RJ;Palmeiras;0;1;A
20;Mirassol;Cruzeiro;1;1;D
21;Bragantino;Fluminense;4;2;H
21;Cruzeiro;Internacional;2;1;H
21;Gremio;Ceara;0;0;D
21;Bahia;Santos;2;0;H
21;Vasco;Corinthians;2;3;A
21;Fortaleza;Mirassol;0;1;A
21;Juventude;Botafogo RJ;1;3;A
21;Sao Paulo;Atletico-MG;2;0;H
21;Palmeiras;Sport Recife;3;0;H
21;Flamengo RJ;Vitoria;8;0;H
22;Ceara;Juventude;0;1;A
22;Botafogo RJ;Bragantino;4;1;H
22;Cruzeiro;Sao Paulo;1;0;H
22;Flamengo RJ;Gremio;1;1;D
22;Santos;Fluminense;0;0;D
22;Corinthians;Palmeiras;1;1;D
22;Mirassol;Bahia;5;1;H
22;Vitoria;Atletico-MG;1;0;H
22;Internacional;Fortaleza;2;1;H
22;Sport Recife;Vasco;2;3;A
23;Fortaleza;Vitoria;2;0;H
23;Gremio;Mirassol;0;1;A
23;Palmeiras;Internacional;4;1;H
23;Fluminense;Corinthians;0;1;A
23;Bragantino;Sport Recife;1;1;D
23;Atletico-MG;Santos;1;1;D
23;Juventude;Flamengo RJ;0;2;A
23;Sao Paulo;Botafogo RJ;1;0;H
23;Vasco;Ceara;2;2;D
23;Bahia;Cruzeiro;1;2;A
24;Vitoria;Fluminense;0;1;A
24;Botafogo RJ;Atletico-MG;1;0;H
24;Ceara;Bahia;1;1;D
24;Palmeiras;Fortaleza;4;1;H
24;Mirassol;Juventude;2;0;H
24;Flamengo RJ;Vasco;1;1;D
24;Internacional;Gremio;2;3;A
24;Sport Recife;Corinthians;1;0;H
24;Cruzeiro;Bragantino;2;1;H
24;Santos;Sao Paulo;1;0;H
25;Fortaleza;Sport Recife;1;0;H
25;Juventude;Internacional;1;1;D
25;Vasco;Cruzeiro;2;0;H
25;Atletico-MG;Mirassol;1;0;H
25;Gremio;Vitoria;3;1;H
25;Bahia;Palmeiras;1;0;H
25;Fluminense;Botafogo RJ;2;0;H
25;Bragantino;Santos;2;2;D
25;Corinthians;Flamengo RJ;1;2;A
25;Sao Paulo;Ceara;0;1;A
26;Atletico-MG;Juventude;0;0;D
26;Mirassol;Bragantino;1;1;D
26;Palmeiras;Vasco;3;0;H
26;Sport Recife;Fluminense;2;2;D
26;Internacional;Corinthians;1;1;D
26;Botafogo RJ;Bahia;2;1;H
26;Santos;Gremio;1;1;D
26;Vitoria;Ceara;1;0;H
26;Fortaleza;Sao Paulo;0;2;A
26;Flamengo RJ;Cruzeiro;0;0;D
27;Fluminense;Atletico-MG;3;0;H
27;Bragantino;Gremio;1;0;H
27;Internacional;Botafogo RJ;2;0;H
27;Corinthians;Mirassol;3;0;H
27;Vasco;Vitoria;4;3;H
27;Sao Paulo;Palmeiras;2;3;A
27;Bahia;Flamengo RJ;1;0;H
27;Juventude;Fortaleza;1;2;A
27;Cruzeiro;Sport Recife;1;1;D
27;Ceara;Santos;3;0;H
